smiles,qed,sa,fsp3,experimentos
CCCCCCCCCCCCCCCCCCCCC,0.2225181949351561,1.0601724830703425,1.0,main
CCCCCCCCCCCCCCCCCCCC,0.2366584358714343,1.0631309651019034,1.0,exp3;main
CCCCCCCCCCCCCCCCCCC,0.2520053119130528,1.0678786896002244,1.0,exp3;main
CCCCCCCCCCCCCCCCCC,0.2695410264515143,1.0745702467178884,1.0,exp3;main
CCCc1ccccc1,0.5624916701881997,1.080414397758101,0.3333333333333333,exp3;main
CCCCc1ccccc1,0.5957309560911629,1.1049531863041595,0.4,exp3;main
CCCOc1ccccc1,0.6198813714379653,1.1670269263572095,0.3333333333333333,exp3;main
CCOc1ccccc1OC,0.6598906467530797,1.19209115515579,0.3333333333333333,exp3;main
CCCNC(=O)c1ccccc1,0.723214757864113,1.2015791179689224,0.3,exp3;main
CCCC(=O)Nc1ccccc1,0.7280524248772754,1.2317230093716385,0.3,exp3;main
CCCCC(=O)Nc1ccccc1,0.7523920240104194,1.2454418290109055,0.3636363636363636,exp3;main
CCCNC(=O)c1ccc(C)cc1,0.7525618411705789,1.2849128269319046,0.3636363636363636,exp3;main
CCCNC(=O)c1ccc(OC)cc1,0.7918926477093977,1.295417863798647,0.3636363636363636,exp3;main
CCCNC(=O)c1ccc(Cl)cc1,0.7927850804237718,1.3120474423165192,0.3,exp3;main
COc1ccc(NC(=O)C2CC2)cc1,0.7935643081762244,1.3142202306625528,0.3636363636363636,exp3;main
c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,0.8391317089059869,1.3168462076283287,0.3333333333333333,exp3;main
O=C(CN1CCCCC1)Nc1ccccc1,0.8423965147673979,1.385747166019362,0.4615384615384615,main
COc1ccc(NC(=O)C2CCCC2)cc1,0.8484975344012526,1.414198642572412,0.4615384615384615,exp3;main
CCCNC(=O)c1ccc(Br)cc1,0.8666422874621417,1.4152128269319046,0.3,exp3;main
O=C(CN1CCCCCC1)Nc1ccccc1,0.86809100763099,1.4199804279944015,0.5,exp3;main
CCCCC(=O)Nc1ccc(Br)cc1,0.8759757847683196,1.4448853194199494,0.3636363636363636,exp3;main
O=C(CN1CCCCC1)Nc1ccc(Cl)cc1,0.897300549579066,1.472654022970854,0.4615384615384615,main
O=C(Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,0.9264894329200822,1.4753974400269936,0.3157894736842105,exp3
O=C(Nc1ccccc1)C1CCN(Cc2ccccc2)CC1,0.9351919869666572,1.4755955465358674,0.3157894736842105,exp3;main
O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1,0.9395977965968726,1.525109392689716,0.3157894736842105,exp3;main
Cc1ccc(NC(=O)CN2CCN(c3ccccc3)CC2)cc1,0.9431181176123112,1.5551861564411134,0.3157894736842105,exp3;main
O=C(CN1CCCN(c2ccccc2)CC1)Nc1ccccc1,0.9431394962267592,1.5680605874534717,0.3157894736842105,main
Cc1ccc(NC(=O)N2CCN(Cc3ccccc3)CC2)cc1,0.9435897984751594,1.581528980780952,0.3157894736842105,exp3;main
Cc1ccc(NC(=O)c2ccc(N3CCN(C)CC3)cc2)cc1,0.9465331947122154,1.615400612134673,0.3157894736842105,exp3
O=C(c1ccc(O)cc1)N1CCCN(Cc2ccccc2)CC1,0.9478154620204312,1.6506440209646485,0.3157894736842105,exp3;main
Cc1ccc(NC(=O)N2CCN(Cc3cccnc3)CC2)cc1,0.9480939193974692,1.7820481541449027,0.3333333333333333,exp3;main
O=C(Nc1ccccc1)N1CCCN(Cc2cccnc2)CC1,0.9481358905555548,1.7874325331548278,0.3333333333333333,exp3;main
Cc1c(C(N)=O)cccc1N1CCCN(c2ccccc2)CC1,0.9482645701797392,1.8513516610857208,0.3157894736842105,main
O=C(Nc1ccc(F)cc1)N1CCN(Cc2ccco2)CC1,0.9482702798074444,1.852267347571372,0.3125,main
CCCN1CCN(C(=O)Nc2nc3ccccc3s2)CC1,0.9483208171631314,1.948538702399384,0.4666666666666667,exp3;main
O=C(Nc1cnn(-c2ccc(Cl)cc2)c1)C1CCOCC1,0.9483670218699812,2.1109064199277565,0.3333333333333333,exp3;main
O=C(NC1CCOCC1)c1csc(-c2ccccc2F)n1,0.9484196135564312,2.1502635447701266,0.3333333333333333,main
CC(C)N1CCC(S(=O)(=O)c2c[nH]c3ccccc23)CC1,0.948447305024234,2.395990686925,0.5,exp3
